m=1,m=2,m=3,p=1e-06
1.1234e+07,1.1234e+07,1.0774e+07
1.125e+07,1.125e+07,1.0887e+07
1.125e+07,1.125e+07,1.1133e+07
1.1266e+07,1.1266e+07,1.1739e+07
1.6875e+07,1.6875e+07,1.6632e+07
1.6875e+07,1.6875e+07,1.6955e+07
2.8125e+07,2.8125e+07,2.8248e+07
2.8125e+07,2.8125e+07,2.8248e+07
3.375e+07,3.375e+07,3.3232e+07
3.375e+07,3.375e+07,3.3475e+07
3.375e+07,3.375e+07,3.3475e+07
3.375e+07,3.375e+07,3.3619e+07
,4.2128e+13,4.2128e+13
,4.2133e+13,4.2133e+13
,4.2133e+13,4.2133e+13
,4.2146e+13,4.2146e+13
,4.2146e+13,4.2146e+13
,4.2153e+13,4.2153e+13
,4.2153e+13,4.2153e+13
,4.2153e+13,4.2153e+13
,4.2153e+13,4.2154e+13
,4.2188e+13,4.2188e+13
,4.2188e+13,4.2188e+13
,4.2188e+13,4.2188e+13
,4.2188e+13,4.2188e+13
,4.2188e+13,4.2188e+13
,4.2188e+13,4.2188e+13
,4.2222e+13,4.2222e+13
,4.2222e+13,4.2222e+13
,4.2222e+13,4.2222e+13
,4.2222e+13,4.2223e+13
,4.223e+13,4.223e+13
,4.223e+13,4.223e+13
,4.2242e+13,4.2242e+13
,4.2242e+13,4.2242e+13
,4.2247e+13,4.2247e+13
,6.3282e+13,6.3282e+13
,6.3282e+13,6.3282e+13
,6.3282e+13,6.3282e+13
,6.3282e+13,6.3282e+13
,6.3282e+13,6.3282e+13
,6.3282e+13,6.3282e+13
,6.3282e+13,6.3282e+13
,6.3282e+13,6.3282e+13
,6.3282e+13,6.3282e+13
,6.3282e+13,6.3282e+13
,6.3282e+13,6.3282e+13
,6.3282e+13,6.3282e+13
,6.3282e+13,6.3282e+13
,6.3282e+13,6.3282e+13
,6.3282e+13,6.3282e+13
,6.3282e+13,6.3282e+13
,6.3282e+13,6.3282e+13
,6.3282e+13,6.3282e+13
,1.0547e+14,1.0547e+14
,1.0547e+14,1.0547e+14
,1.0547e+14,1.0547e+14
,1.0547e+14,1.0547e+14
,1.0547e+14,1.0547e+14
,1.0547e+14,1.0547e+14
,1.0547e+14,1.0547e+14
,1.0547e+14,1.0547e+14
,1.0547e+14,1.0547e+14
,1.0547e+14,1.0547e+14
,1.0547e+14,1.0547e+14
,1.0547e+14,1.0547e+14
,1.0547e+14,1.0547e+14
,1.0547e+14,1.0547e+14
,1.0547e+14,1.0547e+14
,1.0547e+14,1.0547e+14
,1.0547e+14,1.0547e+14
,1.0547e+14,1.0547e+14
,1.2656e+14,1.2656e+14
,1.2656e+14,1.2656e+14
,1.2656e+14,1.2656e+14
,1.2656e+14,1.2656e+14
,1.2656e+14,1.2656e+14
,1.2656e+14,1.2656e+14
,1.2656e+14,1.2656e+14
,1.2656e+14,1.2656e+14
,1.2656e+14,1.2656e+14
,1.2656e+14,1.2656e+14
,1.2656e+14,1.2656e+14
,1.2656e+14,1.2656e+14
,1.2656e+14,1.2656e+14
,1.2656e+14,1.2656e+14
,1.2656e+14,1.2656e+14
,1.2656e+14,1.2656e+14
,1.2656e+14,1.2656e+14
,1.2656e+14,1.2656e+14
,1.2656e+14,1.2656e+14
,1.2656e+14,1.2656e+14
,1.2656e+14,1.2656e+14
,1.2656e+14,1.2656e+14
,1.2656e+14,1.2656e+14
,1.2656e+14,1.2656e+14
,1.2656e+14,1.2656e+14
,1.2656e+14,1.2656e+14
,1.2656e+14,1.2656e+14
,1.2656e+14,1.2656e+14
,1.2656e+14,1.2656e+14
,1.2656e+14,1.2656e+14
,1.2656e+14,1.2656e+14
,1.2656e+14,1.2656e+14
,1.2656e+14,1.2656e+14
,1.2656e+14,1.2656e+14
,1.2656e+14,1.2656e+14
,1.2656e+14,1.2656e+14
,1.2656e+14,1.2656e+14
,1.2656e+14,1.2656e+14
,1.2656e+14,1.2656e+14
,1.2656e+14,1.2656e+14
,1.2656e+14,1.2656e+14
,1.2656e+14,1.2656e+14
,1.2656e+14,1.2656e+14
,1.2656e+14,1.2656e+14
,1.2656e+14,1.2656e+14
,1.2656e+14,1.2656e+14
,1.2656e+14,1.2656e+14
,1.2656e+14,1.2656e+14
,,1.5798e+20
,,1.5798e+20
,,1.5798e+20
,,1.5798e+20
,,1.5798e+20
,,1.5798e+20
,,1.5798e+20
,,1.5798e+20
,,1.5798e+20
,,1.58e+20
,,1.58e+20
,,1.58e+20
,,1.58e+20
,,1.58e+20
,,1.58e+20
,,1.58e+20
,,1.58e+20
,,1.58e+20
,,1.58e+20
,,1.58e+20
,,1.58e+20
,,1.58e+20
,,1.58e+20
,,1.58e+20
,,1.58e+20
,,1.58e+20
,,1.58e+20
,,1.5805e+20
,,1.5805e+20
,,1.5805e+20
,,1.5805e+20
,,1.5805e+20
,,1.5805e+20
,,1.5805e+20
,,1.5805e+20
,,1.5805e+20
,,1.5805e+20
,,1.5805e+20
,,1.5805e+20
,,1.5805e+20
,,1.5805e+20
,,1.5805e+20
,,1.5805e+20
,,1.5805e+20
,,1.5805e+20
,,1.5808e+20
,,1.5808e+20
,,1.5808e+20
,,1.5808e+20
,,1.5808e+20
,,1.5808e+20
,,1.5808e+20
,,1.5808e+20
,,1.5808e+20
,,1.5808e+20
,,1.5808e+20
,,1.5808e+20
,,1.5808e+20
,,1.5808e+20
,,1.5808e+20
,,1.5808e+20
,,1.5808e+20
,,1.5808e+20
,,1.5808e+20
,,1.5808e+20
,,1.5808e+20
,,1.5808e+20
,,1.5808e+20
,,1.5808e+20
