0,0.5,0.3439,0.25,0.2167,0.17804,0.15799,0.125,0.098311,0.091558,0.087437,0.084618,0.078229,0.077639,0.07721
0,0,0.6561,0.5,0.42408,0.32196,0.26967,0.25,0.22225,0.20354,0.17541,0.16538,0.15053,0.14944,0.14866
0,0,0,0.75,0.57592,0.5,0.43165,0.375,0.33469,0.29646,0.26373,0.25,0.21909,0.21776,0.21682
0,0,0,0,0.7833,0.67804,0.56835,0.5,0.44892,0.40844,0.34629,0.33462,0.28934,0.28224,0.27858
0,0,0,0,0,0.82196,0.73033,0.625,0.55108,0.5,0.45695,0.41538,0.39147,0.35056,0.33988
0,0,0,0,0,0,0.84201,0.75,0.66531,0.59156,0.54305,0.5,0.46697,0.42236,0.40381
0,0,0,0,0,0,0,0.875,0.77775,0.70354,0.65371,0.58462,0.53303,0.5,0.46835
0,0,0,0,0,0,0,0,0.90169,0.79646,0.73627,0.66538,0.60853,0.57764,0.53165
0,0,0,0,0,0,0,0,0,0.90844,0.82459,0.75,0.71066,0.64944,0.59619
0,0,0,0,0,0,0,0,0,0,0.91256,0.83462,0.78091,0.71776,0.66012
0,0,0,0,0,0,0,0,0,0,0,0.91538,0.84947,0.78224,0.72142
0,0,0,0,0,0,0,0,0,0,0,0,0.92177,0.85056,0.78318
0,0,0,0,0,0,0,0,0,0,0,0,0,0.92236,0.85134
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92279
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
