1,-1,0.70994,0.66667,1,-1,-0.72065,-0.66667,-0.72065,-1,-0.77354,0.42164,-0.26659,-0.28087,-0.14034
0,1,-1,-1,-0.96241,0.81081,0.55402,0.66667,0.55402,0.93356,1,-0.66667,0.57046,0.65139,0.34264
0,0,0.70994,1,0.69889,-1,-1,-1,-0.58542,-0.81081,-0.44202,0.42164,-0.70994,-0.92766,-0.5289
0,0,0,-0.66667,-0.96241,1,0.72234,1,1,0.93356,0.96241,-0.63246,0.63246,1,0.63246
0,0,0,0,1,-0.81081,-1,-1,-0.72234,-1,-0.58114,1,-0.33151,-0.92766,-0.75079
0,0,0,0,0,1,0.55402,1,1,1,0.69889,-0.63246,0.85592,0.65139,0.88439
0,0,0,0,0,0,-0.72065,-0.66667,-0.58542,-0.93356,-0.58114,0.63246,-1,-0.28087,-0.9766
0,0,0,0,0,0,0,0.66667,0.55402,0.81081,0.96241,-1,0.85592,0.28087,1
0,0,0,0,0,0,0,0,-0.72065,-0.93356,-0.44202,0.63246,-0.33151,-0.65139,-0.9766
0,0,0,0,0,0,0,0,0,1,1,-0.42164,0.63246,0.92766,0.88439
0,0,0,0,0,0,0,0,0,0,-0.77354,0.66667,-0.70994,-1,-0.75079
0,0,0,0,0,0,0,0,0,0,0,-0.42164,0.57046,0.92766,0.63246
0,0,0,0,0,0,0,0,0,0,0,0,-0.26659,-0.65139,-0.5289
0,0,0,0,0,0,0,0,0,0,0,0,0,0.28087,0.34264
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.14034
